,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AFF2.IT1,1246.455275,-0.003958406,0.037746148,-0.104869137,0.916479649,0.999991981
AFF3,5.408907633,-0.223915458,0.088253807,-2.537176188,0.01117507,0.0794664
AFF4,3.278240922,0.370646361,0.205380639,1.804680143,NA,NA
AFG1L,3493.339158,0.074971798,0.042332594,1.771018272,0.076557663,0.297545504
AFG3L2,3299.627856,-0.124094499,0.043740186,-2.83708207,0.004552791,0.042300603
AFM,880.4038865,-0.015439094,0.055595936,-0.277701846,0.781241243,0.999991981
AFMID,137.0405746,-0.771771019,0.219082924,-3.522734703,0.000427119,0.007463416
AFP,789.6566379,0.154970621,0.125334463,1.23645658,0.216288896,0.573597756
AFTPH,5215.254199,0.051679117,0.030452245,1.697054435,0.08968637,0.330048019
AGA,1169.311333,0.008574838,0.042981873,0.199498937,0.841872475,0.999991981
AGAP1,1135.267788,-0.103474318,0.027368703,-3.780753486,0.000156354,0.003528172
AGAP1.IT1,4.55501761,-0.35215596,0.248197751,-1.418852342,0.155942069,0.470185245
AGAP10P,1.818037077,-0.149299458,0.138431451,-1.078508219,0.280807016,0.671357968
AGAP11,4.825692487,0.094684196,0.108299956,0.874277328,0.381967243,0.798563003
AGAP12P,0.632773727,-0.008154134,0.179584969,-0.045405437,0.963784147,0.999991981
AGAP13P,2.610595996,-0.076502294,0.099501244,-0.768857668,0.44197781,0.859775966
AGAP14P,0.087773997,-0.088535487,1.334104545,-0.06636323,0.947088644,0.999991981
AGAP2,7.697253681,0.028618245,2.145883165,0.013336348,0.989359449,0.999991981
AGAP2.AS1,1.944495918,-0.185840734,0.236743719,-0.784986964,0.432461212,0.850736264
AGAP3,71.87966283,0.443273749,0.15496634,2.860451821,0.004230378,0.04017011
AGAP4,63.5021415,0.069350024,0.051477598,1.347188422,0.177919556,0.509536874
AGAP5,3089.706289,-0.015377943,0.037964529,-0.405060804,0.685432817,0.999991981
AGAP6,2978.224105,-0.001245446,0.040858651,-0.03048183,0.975682785,0.999991981
AGAP9,2.821157032,-0.460853769,0.286015269,-1.611290792,0.107116357,0.369987575
AGBL1,0.467992545,-0.381625825,0.246765411,-1.546512632,0.121980812,0.401442246
AGBL1.AS1,0.319643726,-0.200430543,0.318739146,-0.628823117,0.529464864,0.939245063
AGBL2,795.6465429,0.152459953,0.050869863,2.997058427,0.002725985,0.029220303
